author_id,full_name,email,website
bko-96-234,"Kelly, Brian O.",bs@bkweblink.com,www.bkweblink.com
cln-23-994,"Littler, Cindy N.",cl@alabcweb.com,www.clabcweb.com
dth-34-345,"Clark, David H.",dt@dtonline.com,www.dtonline.com
gdk-79-756,"Dallas, George K.",gd@mdwebhours.com,www.gdwebhours.com
jbm-89-792,"Black, John M.",jb@jbweb.com,www.jbweb.com
jps-34-345,"Penne, John S.",jp@jprightweb.com,www.jprightweb.com
jpy-45-623,"Penny, Jessica Y.",jp@jbwebcongig.com,www.jbwebcongig.com
jri-43-442,"Richter, Joan I.",jr@jrweblab.com,www.jrweblab.com
jsm-56-873,"Smith, Joel M.",js@jscool.com,www.jscool.com
mbq-86-904,"Beam, Maria Q.",mb@mbworld.com,www.mbworld.com
mjj-23-568,"Junior, Michael J.",mj@mjsee.com,www.mjsee.com
mmr-76-234,"Miller, Matt R.",mr@mrforweb.com,www.mrforweb.com
mnt-53-789,"Novak, Matthew T.",mn@mnwebgain.com,www.mnwebgain.com
nlb-75-566,"Lopez, Nancy B.",nl@nlallonline.com,www.nlallonline.com
osk-87-839,"Singer, Olga K.",os@osweblink.com,www.osweblink.com
rws-64-891,"White, Richard S.",rw@rwattheweb.com,www.rwattheweb.com
sbq-45-905,"Brown, Scott Q.",sb@sbinter.com,www.sbinter.com
stj-76-643,"Timmer, Steve J.",st@stforweb.com,www.stforweb.com
tge-85-452,"Gates, Tony E.",tg@tgonlineworld.com,www.tgonlineworld.com
tmp-21-528,"Myers, Timothy P.",tm@tmvisist.com,www.tmvisist.com
