author_id,full_name,email,website,paid_amount
bko-96-234,"Kelly, Brian O.",bs@bkweblink.com,www.bkweblink.com,241.10
cln-23-994,"Littler, Cindy N.",cl@alabcweb.com,www.clabcweb.com,258.37
gdk-79-756,"Dallas, George K.",gd@mdwebhours.com,www.gdwebhours.com,320.27
jbm-89-792,"Black, John M.",jb@jbweb.com,www.jbweb.com,155.17
jps-34-345,"Penne, John S.",jp@jprightweb.com,www.jprightweb.com,112.52
jpy-45-623,"Penny, Jessica Y.",jp@jbwebcongig.com,www.jbwebcongig.com,666.29
jri-43-442,"Richter, Joan I.",jr@jrweblab.com,www.jrweblab.com,240.50
jsm-56-873,"Smith, Joel M.",js@jscool.com,www.jscool.com,290.70
mbq-86-904,"Beam, Maria Q.",mb@mbworld.com,www.mbworld.com,115.35
mjj-23-568,"Junior, Michael J.",mj@mjsee.com,www.mjsee.com,130.42
mmr-76-234,"Miller, Matt R.",mr@mrforweb.com,www.mrforweb.com,105.15
mnt-53-789,"Novak, Matthew T.",mn@mnwebgain.com,www.mnwebgain.com,325.44
nlb-75-566,"Lopez, Nancy B.",nl@nlallonline.com,www.nlallonline.com,165.25
osk-87-839,"Singer, Olga K.",os@osweblink.com,www.osweblink.com,255.83
rws-64-891,"White, Richard S.",rw@rwattheweb.com,www.rwattheweb.com,283.70
sbq-45-905,"Brown, Scott Q.",sb@sbinter.com,www.sbinter.com,591.34
stj-76-643,"Timmer, Steve J.",st@stforweb.com,www.stforweb.com,280.44
tge-85-452,"Gates, Tony E.",tg@tgonlineworld.com,www.tgonlineworld.com,145.12
tmp-21-528,"Myers, Timothy P.",tm@tmvisist.com,www.tmvisist.com,220.60
